Source,Meand13C,SDd13C,Meand15N,SDd15N,Pond,Status,n
Bladderwort,-28.21045278,0.498445604,0.89939616,1.033242511,Pinch,Native,5
Bogbean,-28.75948134,1.097703755,-1.04069174,1.349096384,Pinch,Native,5
CottonGrass,-28.05316728,1.105960773,-0.26844632,1.525827565,Pinch,Native,5
Horsetail,-26.2989,0.729178277,1.521280333,1.060952612,Pinch,Native,3
Millfoil,-28.0741803,1.44867329,0.73133554,1.002430389,Pinch,Native,5
PeatMoss,-30.13319702,1.607101091,-1.5512995,1.136325614,Pinch,Native,5
PurpleMarshlocks,-29.22333333,0.951122144,0.113333333,0.626843947,Pinch,Native,3
Sedge,-27.79908555,1.263879349,-1.420952267,2.027437376,Pinch,Native,3
YellowPondlily,-26.7641,0.28058006,-0.149070333,0.507347294,Pinch,Native,5
