d13C,d15N,Pond,Status
-31.4442,2.248914,Pinch,Native
-31.0188782,0.5890205,Pinch,Native
-30.5222345,2.2171541,Pinch,Native
-29.717081,1.5006604,Pinch,Native
-28.694132,1.8667859,Pinch,Native
