iso1,iso2,group,community
-26.55,0.92,Sedge,PCH
-27.0189,-0.474562,Yellow Pond Lily,PCH
-26.81,0.435508,Yellow Pond Lily,PCH
-26.4634,-0.408157,Yellow Pond Lily,PCH
-29.69,-0.91,Algae,WCW
-29.0846114,-0.8115512,Algae,WCW
-29.07830732,-1.0560932,Algae,WCW
-28.45,-0.83,Algae,WCW
-26.73949364,-1.0717808,Algae,WCW
-29.486635,1.537176,Bogbean,WCW
-29.36728,1.378324,Bogbean,WCW
-28.64897,1.770194,Bogbean,WCW
-27.75408,1.282592,Bogbean,WCW
-27.00033333,-1.244353333,Bogbean,WCW
-26.90497,0.703466,Bogbean,WCW
-26.36433,-0.022414,Bogbean,WCW
-25.6623,-1.142946667,Bogbean,WCW
-35.99648,1.290748,Burreed,WCW
-35.8352,0.629107,Burreed,WCW
-33.86672,1.155255,Burreed,WCW
-27.67,1.99,Burreed,WCW
-27.862135,-0.35913375,Horsetail,WCW
-29.77605,2.679873,Mare's Tail,WCW
-28.4264,3.6516,Mare's Tail,WCW
-32.70176,-3.178543,Milfoil,WCW
-31.77728,-2.061962,Milfoil,WCW
-25.77968,-1.320212,Milfoil,WCW
-24.8981,-1.199779,Milfoil,WCW
-24.6096257,-2.4924785,Milfoil,WCW
-26.9145,0.139408,Peat Moss,WCW
-26.3425,-0.525363333,Peat Moss,WCW
-25.5593,-0.711015,Peat Moss,WCW
-29.978615,-0.9048085,Pondweed,WCW
-29.5146,0.199172,Pondweed,WCW
-29.51425667,-0.866176,Pondweed,WCW
-28.99445,-1.4393005,Pondweed,WCW
-28.90793,-0.1648825,Pondweed,WCW
-28.708625,-4.6253455,Pondweed,WCW
-28.57627,-1.2565915,Pondweed,WCW
-28.5513975,1.901577,Pondweed,WCW
-28.43001,1.965359,Pondweed,WCW
-28.22607,-1.112515,Pondweed,WCW
-27.97681,-0.555298,Pondweed,WCW
-27.58322,-2.02333,Pondweed,WCW
-27.40722,2.168066,Pondweed,WCW
-27.0314,0.326227,Pondweed,WCW
-26.89829,-0.708338,Pondweed,WCW
-26.72948,0.041257,Pondweed,WCW
-26.220145,-1.2538645,Pondweed,WCW
-29.6663,1.174807,Purple Marshlocks,WCW
-29.21359,0.904924,Purple Marshlocks,WCW
-28.14757,1.760726,Purple Marshlocks,WCW
-26.8581,1.606608,Purple Marshlocks,WCW
-29.0892,-0.26176,Sedge,WCW
-28.9526,2.339469,Sedge,WCW
-28.537,0.684298,Sedge,WCW
-28.0998,2.842402,Sedge,WCW
-34.532,0.482735,Yellow Pond Lily,WCW
-34.30448,0.966356,Yellow Pond Lily,WCW
-32.43536,1.118662,Yellow Pond Lily,WCW
-26.6633,1.000176333,Yellow Pond Lily,WCW
-34.93,-0.5,Algae,WGN
