d13C,d15N,Pond,Status
-29.7881,1.358588,Swanny,Elodea
-28.783,2.035738,Swanny,Elodea
-28.3121,1.000722,Swanny,Elodea
-28.17,5.619227,Swanny,Elodea
-27.7264,5.17744,Swanny,Elodea
