d13C,d15N,Pond,Status
-29.8918,3.388396,Swanny,Elodea
-29.5767554,3.3865947,Swanny,Elodea
-27.9174,4.182113,Swanny,Elodea
-27.876968,4.8466294,Swanny,Elodea
-26.5816541,4.3332304,Swanny,Elodea
