d13C,d15N,Pond,Status
-28.4502218,2.6840487,EyakSouth,Native
-28.1184,2.663537,EyakSouth,Native
-27.9135,3.22742,EyakSouth,Native
-27.4105751,2.9218335,EyakSouth,Native
-27.2987207,2.2102805,EyakSouth,Native
