Source,Meand13C,SDd13C,Meand15N,SDd15N,Pond,Status,n
Bogbean,-28.59259786,0.20003015,1.61227008,1.041816409,EyakSouth,native,5
Horsetail,-27.7739,0.492903408,1.935300333,0.44369559,EyakSouth,native,3
Millfoil,-25.68389083,4.392283871,1.1830523,1.99438457,EyakSouth,native,3
Peatmoss,-25.76545798,0.77859456,-0.53084996,2.186344674,EyakSouth,native,5
Sedge,-27.75,0.147309199,-0.323333333,0.346458271,EyakSouth,native,3
YellowPondlily,-25.69233333,0.336033515,2.675483667,0.238672503,EyakSouth,native,5
