d13C,d15N,Pond,Status
-29.8733693,2.8975146,WCW,Elodea
-29.2891298,2.3003505,WCW,Elodea
-28.4831,3.003169,WCW,Elodea
-27.5637635,1.9372303,WCW,Elodea
-27.4684997,4.1521897,WCW,Elodea
