Source,Meand13C,SDd13C,Meand15N,SDd15N,Pond,Status,n
Bladderwort,-36.32366241,0.907034952,1.4058324,0.277499313,Strawberry,Native,5
Bogbean,-28.61511358,1.635929096,0.6606467,1.791181733,Strawberry,Native,5
Horsetail,-26.91896667,0.007921069,1.048204333,1.417974925,Strawberry,Native,3
MaresTail,-28.462815,0.630725107,-2.6377555,0.306532911,Strawberry,Native,2
Pondweed,-30.73568452,1.458614463,-3.84127436,3.374932297,Strawberry,Native,5
PurpleMarshlocks,-28.4012,0.420897577,2.294075333,0.465512569,Strawberry,Native,3
Sedge,-28.88333333,0.388501394,0.81,3.264919601,Strawberry,Native,3
YellowPondlily,-26.90473333,0.840644291,-0.256116333,0.02671726,Strawberry,Native,3
